slang,formal
tangkep,tangkap
bt,buat
sadis2,sadis-sadis
maksir,menaksir
hebatt,hebat
pndang,pandang
pmbelajaran,pembelajaran
ngejelek,menjelekkan
maslah,masalah
mmperbaiki,memperbaiki
nahan,menahan
kafeh,kafe
remang2,remang-remang
mlh,malah
tinggl,tinggal
dirmh,dirumah
iyuuhhh,ih
ktika,ketika
dipuja2,dipuja-puja
ngrasain,merasai
ityl,itil
hbs,habis
marah2,marah-marah
wenak,enak
ngarang,mengarang
kelas'a,kelasnya
hadeeehhh,aduh
"kecil""",kecil-kecil
"gtu""an",begitu-gituan
gmanapun,bagaimanapun
kr,kira
nenek2,nenek-nenek
taux,taunya
urat2nya,urat-uratnya
ketarik,tertarik
ngorbanin,mengorbankan
eksprsi,ekspresi
gitulah,begitulah
"foto""",foto-foto
mamas,mas
bandingin,bandingkan
tua2,tua-tua
terus2an,terus-terusan
waduhh,waduh
"bawa""",bawa-bawa
badingkan,membandingkan
ngurus,mengurus
lanjutin,lanjutkan
ributin,meributkan
brantem,berantem
belain,membela
lipetan,lipatan
"nenek""",nenek-nenek
bneraan,benaran
kageeet,kaget
sangaaattt,sangat
rmbuut,rambut
nt,nanti
walik,balik
oma2,oma-oma
kellen,kalian
nyerocos,mencerocos
ibuk2,ibu-ibu
ngomenin,mengomentari
iseng2,iseng-iseng
niyyyyhhhh,nih
sexi2,seksi-seksi
blik,balik
kenape,kenapa
ladenin,meladeni
skit,sakit
hat,hati
jilbabnye,jilbabnya
ledkin,meledeki
digabtikan,digantikan
jng,jangan
ngumung,mengomong
ilang-in,hilangkan
prinadi,pribadi
luh,lu
yep,ya
helooooo,halo
loe,lo
palingann,palingan
berjinah,berzina
munaafikk,munafik
urusn,urusan
saudra,saudara
trganggu,terganggu
bhijab,berhijab
lepasin,melepas
smentara,sementara
waduhhh,waduh
ursan,urusan
sudab,sudah
dwsa,dewasa
rpt2,repot-repot
ngaji,mengaji
nmr,nomor
romantiz,romantis
murmer,murah meriah
pensaran,penasaran
baru2,baru-baru
yuukk,yuk
kitaaa,kita
lainnyaa,lainnya
perbulannn,perbulan
penyebab2,penyebab-penyebab
nyupir,menyopir
steess,stres
kwatir,kawatir
tengah2,tengah-tengah
duetin,duet
mudaa,muda
sebenernya,sebenarnya
silsturahmi,silaturahmi
dijkt,dijakarta
cums,cuma
undangan2,undangan-undangan
past,pasti
ayukk,yuk
ngucapin,mengucapkan
filmny,filmnya
ntn,menonton
nobar,menonton bareng
kemariin,kemarin
knpp,kenapa
lggi,lagi
gaprgi,enggak pergi
aaahh,ah
pa2,apa-apa
dtunggu,ditunggu
masa2,masa-masa
kepikir,terpikir
seruuu,seru
emeshh,gemas
kaya,kayak
astagaaaaaa,astaga
pacarn,pacaran
ktg,kita
pacaranya,pacarannya
mbaak,mbak
ngalah,mengalah
de,dek
pacarane,pacarannya
rusakkk,rusak
yaaampunnn,ya ampun
tuwek,tua
mukae,mukanya
ultahe,ultahnya
kliatanya,kelihatannya
pcaranya,pacarannya
bermaksut,bermaksud
tampialannya,tampilannya
nikaah,nikah
"anak""",anak-anak
pankapan,kapan-kapan
ngumbar,mengumbar
dhpusin,dihapuskan
istiqomah,istikamah
mnutup,menutup
bngatt,banget
dii,di
ooh,oh
hapusin,hapuskan
lohhh,loh
ngeuh,engah
sneng,senang
mutusin,memutuskan
ngapus,menghapus
awl,awal
hrus,harus
bngkit,bangkit
mncoba,mencoba
wahhh,wah
mutuain,memutuskan
smw,semua
geuliiiiiiis,geulis
euyyyyy,euy
uuh,uh
ngirim,mengirim
ngidam,mengidam
waah,wah
sampis,sampah habis
maapin,maaf
ngebala,bala
mampuussss,mampus
diihhhh,dih
hrusnya,harusnya
sabal,sabar
udahlah,sudahlah
kauuuu,kau
sabaro,sabar
eehhh,eh
iiii,ih
kreative,kreatif
bangrt,banget
azekkkk,asik
kuaaatt,kuat
bhet,banget
inggrisny,inggrisnya
dsna,disana
iyaap,iya
mksih,terima kasih
nga,enggak
canyk,cantik
prodac,produk
nyesell,menyesal
ciyusss,serius
cyin,cinta
bangetttttttt,banget
sexi,seksi
bundaaaa,bunda
bangget,banget
bettt,banget
cantiiillx,cantik
brapa,berapa
alaami,alami
sabaarrr,sabar
cantiiiikk,cantik
bangeeeeetttt,banget
cannntikk,cantik
banggett,banget
thnan,tahunan
cuantik,cantik
segerr,segar
wouww,wow
cantiiikkk,cantik
pen,pengin
catokin,catok
ikut2an,ikut-ikutan
comment2nya,komentar-komentarnya
teman2,teman-teman
besar2an,besar-besaran
knsul,konsultasi
brhasil,berhasil
hilangin,menghilangkan
kontak2,kontak-kontak
dptnya,dapatnya
applikasi,aplikasi
kereeeeen,keren
bngeet,banget
gemesinnnnn,menggemaskan
ongkiir,ongkir
ajaibbbbb,ajaib
saayyyyy,say
lohhhh,loh
ganteung,ganteng
bhgia,bahagia
iiiiiiiiii,ih
lucuukk,lucu
keciil,kecil
yakinn,yakin
pentass,pentas
ngarep,mengharap
lucu2,lucu-lucu
testinya,testimoninya
mengirusi,mengurusi
khdpn,kehidupan
ngelawan,melawan
betuuuuulllllllllllllllll,betul
bisax,bisanya
klmbutan,kelembutan
seburuk2,seburuk-buruk
diingetin,diingatkan
ngeriiiiii,ngeri
nich,nih
akhlah,akhlak
elo2,lo-lo
mandiin,memandikan
nguburin,menguburkan
ngebedain,membedakan
urusanny,urusannya
tuhanny,tuhannya
brtngkar,bertengkar
pndapat,pendapat
looh,loh
sharusnya,seharusnya
mngkannya,mangkanya
nyia2in,menyia-nyiakan
brarti,berarti
mndpat,mendapat
kpuasan,kepuasan
sgampang,segampang
mlepaskan,melepaskan
trll,terlalu
sndr,sendiri
sellow,selow
sbbrnya,sebenarnya
kasar2,kasar-kasar
semangattt,semangat
testi,testimoni
banyaak,banyak
bujukk,bujuk
d.apa,diapa
apain,apai
dsar,dasar
benetaran,benaran
bneran,benaran
si,sih
kraya,karya
brg,bareng
ngebantu,membantu
janjutin,lanjutkan
kepppoin,kepoi
recommendasi,rekomendasi
btulan,betulan
kha,kah
s,si
tutupin,menutupi
wik,wig
ithu,itu
botakin,botaki
botakkkk,botak
bnrn,benaran
week,wig
gawul,gaul
modes,modis
brayyy,bray
kcantikan,kecantikan
bronis,brondong manis
gapunya,enggak punya
bkln,bakalan
kecantikanga,kecantikannya
hiii,hai
piiiilih,pilih
deeh,deh
zama,zaman
gnti,ganti
nmnya,namanya
tapo,tapi
gkk,enggak
petinggi2,petinggi-petinggi
wota2,wota-wota
indefendet,independen
tempat2,tempat-tempat
taik,tahi
yuuuukkk,yuk
dituutup,ditutup
ngayal,mengkhayal
smvk,sempak
knyataan,kenyataan
njrittt,anjir
selmt,selamat
taz,atas
klhran,kelahiran
pertma,pertama
kelahuran,kelahiran
pertamany,pertamanya
mamax,mamanya
ankx,anaknya
cantip,cantik
klahiran,kelahiran
slmat,selamat
mmbanggakan,membanggakan
ortuny,orang tuanya
selmat,selamat
bnda,bunda
nyah,nya
prtamax,pertamanya
moqa,moga
yq,yang
brbakti,berbakti
gewlaaaaa,gila
basodaraa,bersaudara
hargs,harga
perhatiin,perhatikan
abal2,abal-abal
bantuim,bantu
adl,adalah
pelwak,pelawak
suces,sukses
sucses,sukses
garemin,garami
gapake,enggak pakai
ngiringan,mengiringi
karir.a,karirnya
aamin,amin
teruz,terus
kemarn,kemarin
recomendasinya,rekomendasinya
promoo,promo
ongkirr,ongkir
mskasih,terima kasih
wowwwww,wow
seeeemua,semua
batesin,batasi
bijin,bikin
ngeidealin,mengidealkan
bhn,bahan
gasalah,enggak salah
brsma,bersama
le,boleh
ugha,juga
semuaaa,semua
heeee,hai
rame2,rame-rame
yam,ya
kartunin,kartun
kyaknya,kayaknya
abez,habis
baaaaaang,bang
ganteeeeng,ganteng
entahhh,entah
gimanaaaa,bagaimana
duuhh,duh
gantengnyaaaa,gantengnya
kpn2,kapan-kapan
pans,fan
kuliyh,kuliah
gantengkuuuuuu,gantengku
atassss,atas
orgny,orangnya
owalaah,walah
aslinyo,aslinya
alissnyaa,alisnya
masaaaa,masa
komuk,muka
kalahnye,kalahnya
iyaaaa,iya
fakultass,fakultas
smrg,semarang
unyu2,unyu-unyu
koq,kok
yyaaa,ya
insonniaaa,insomnia
adekx,adeknya
azaab,azab
gksi,enggak sih
greged,greget
alamiii,alami
ktemu,ketemu
ditayangin,ditayangkan
"ms""",masa-masa
meranin,memerankan
nontonny,menontonnya
rekomendasiiin,merekomendasikan
sista2,sista-sista
agan2,agan-agan
ngg,enggak
nanget,banget
ngeditnya,mengeditnya
himana,bagaimana
kekgini,kayak begini
subhanaallahh,subhanallah
sangat2,sangat-sangat
terharuuuu,terharu
"kata""",kata-kata
subhanallahhh,subhanallah
tlsn,tulisan
nagiss,menangis
aneut,banget
trrharu,terharu
subhnallah,subhanallah
allahh,allah
suamiii,suami
dcintai,dicintai
klrga,keluarga
liat'y,lihatnya
lggeng,langgeng
romantisny,romatisnya
duhhh,duh
pcar,pacar
kakanga,kakaknya
slw,selow
cpa,siapa
akuu,aku
aelah,alah
orabg,orang
mukanyaa,mukanya
kakakny,kakaknya
woooyy,woy
ngelucu,melucu
bukak,buka
mato,mata
kareno,karena
cino,cina
munafikk,munafik
meker,mikir
indoneaia,indonesia
benarin,membenarkan
jaadii,jadi
apo,apa
nyo,nya
miara,memiara
jalanani,menjalani
dalil2,dalil-dalil
sunah2,sunah-sunah
sdah,sudah
benda2,benda-benda
bilang2,bilang-bilang
emangnya,memangnya
rumpiin,rumpi
hotak,botak
ikut2,ikut-ikut
jawabanny,jawabannya
ajj,saja
mikir2,memikir-mikir
melihara,memelihara
oooh,oh
hidupx,hidupnya
ngefans,fan
lsg,langsung
uztad,ustad
anjingnyaa,anjingnya
pegang2,pegang-pegang
ilmh,ilmu
menasehati,menasihati
suka2,suka-suka
kelus,kali
hubngan,hubungan
koclak,kocak
bju,baju
cinggirnyaaaa,cinggirnya
yahhhh,ya
miripppp,mirip
sedikitlaahh,sedikitlah
miriplahhhhhh,miriplah
syediih,sedih
mirp,mirip
baju.a,bajunya
wiiiihhhhhhhhh,wih
gantheng,ganteng
synk,sayang
ngfans,fan
miriiippp,mirip
idungnya,hidungnya
wooow,wow
panglingg,pangling
artisnyaa,artisnya
dtggu,ditunggu
trnyata,ternyata
bgtttttttt,banget
rapih,rapi
buuun,bun
iyaappps,iya
sukse,sukses
nih2,nih-nih
baruu,baru
kecptan,kecepatan
rmbutnya,rambutnya
giti,begitu
penganten,pengantin
wrn,warna
ne,ini
cantikkkkk,cantik
fans,fan
loksyut,lokasi syuting
amfun,ampun
k',kak
asuuu,asu
kuu,ku
dsini,disini
dibls,dibalas
ceklist,ceklis
terusss,terus
tlvn,telepon
trkrim,terkirim
kelaluan,kelakuan
guanteng,ganteng
cucok,cocok
c,sih
gueee,gue
semangatt,semangat
haduh,aduh
mlz,malas
emak2,emak-emak
tante2,tante-tante
kepoh,kepo
jalanin,menjalani
repong,repot
ngrusin,mengurusi
iy,iya
dnk,dong
senyumna,senyumnya
ngejelek2in,menjelek-jelekkan
hotx,hotnya
cwnya,ceweknya
mbaaahhh,mbah
pasangn,pasangan
sttus,status
aama,sama
hadeuuhhhh,aduh
lebar2,lebar-lebar
sstu,sesuatu
serasiii,serasi
cocokx,cocoknya
emakx,emaknya
iniiiiiiiiiiiiiii,ini
cocookk,cocok
kll,kalo
arghhh,ah
ungkapin,ungkapkan
merrid,merit
neh,nih
cocokkkkk,cocok
yaolohh,ya allah
aee,saja
naggung,menanggung
battt,banget
am,sama
tah,teh
luthuna,lucunya
astagaaa,astaga
suaraynyaa,suaranya
duanyaa,duanya
anjayyyy,anjay
coeggg,coeg
ancur,hancur
koplak,kocak
uaaasssiiiik,asik
boss,bos
nyubit,mencubit
dede,adek
gemez,gemas
tium,cium
gemeeezzzz,gemas
ppa,papa
papahhhnya,papahnya
duuuhh,duh
ginting,ganteng
bingiiittzz,banget
iiihh,ih
dedeknya,adeknya
hadeeuh,aduh
geneeee,begini
yooow,ya
gemezz,gemas
gayax,gayanya
infpyunnnn,ampun
paraaah,parah
papiii,papi
kamunyaa,kamunya
ngambek,mengambek
haduuuh,aduh
kapaan,kapan
nginjek,menginjak
putihnyaa,putihnya
ituuuu,itu
omaaaaaaakk,oma
loncattt,loncat
didatengin,didatangi
abg,abang
kmariiin,kemarin
ayoklaa,ayolah
jelasssss,jelas
kaliiin,kalian
ujunggg,ujung
kaakaaaa,kakak
srruu,seru
kannn,kan
jmpaaaa,jumpa
yukkk,yuk
haii,hai
syukaaakkk,suka
dengeeriin,dengarkan
yakaliiiii,yakali
atuhh,atuh
ngertii,mengerti
apalgi,apalagi
akuh,aku
mesrany,mesranya
jendes,janda
ngggk,enggak
coccokk,cocok
msa,masa
jendesss,janda
klepek2,klepek-klepek
bngtttt,banget
ponakn,ponakan
tantee,tante
gadiss,gadis
tpy,tapi
jnda,janda
bngy,banget
bujngn,bujangan
ngp,mengapa
padetan,padatan
bawa2,bawa-bawa
nyobain,mencoba
pcaran,pacaran
or,orang
tdak,tidak
prcuma,percuma
langgengggg,langgeng
sekaliiiii,sekali
anehhh,aneh
hayal,khayal
bedua,berdua
bapeerr,bawa perasaan
keinget,teringat
merekak,mereka
kreeenn,keren
abisss,habis
kocaaaakkk,kocak
abiiiss,habis
pass,pas
personill,personil
lengkapp,lengkap
ampuuun,ampun
iiihhhh,ih
flim.a,filmnya
trusan.a,terusannya
tdung,tudung
gangguin,mengganggu
lgkah2,langkah-langkah
taw,tau
cntiiikkk,cantik
tegaar,tegar
sktlrang,sekarang
kangeeeennnnn,kangen
sjk,sejak
tambh,tambah
nangiis,menangis
nyaaaaaaaaa,nya
bundaa,bunda
duuhhhhh,duh
gaada,enggak ada
malsudnya,maksudnya
lluuccuu,lucu
siappa,siapa
martabakk,martabak
skali2,sekali-kali
kueren2,keren-keren
abgnya,abangnya
warkop,warung kopi
hayuu,hayo
kenapaa,kenapa
ilang2an,hilang-hilangan
ayooook,ayo
astagaaaaaaaa,astaga
inihhh,ini
oom,om
mansetan,bermanset
cadasss,cadas
kereeeeennn,keren
"temen""",teman-teman
telefisi,televisi
nikmatin,menikmati
mantappp,mantap
mbahh,mbah
giitu,begitu
mtanya,matanya
cpit,sipit
dee,dek
sumvahh,sumpah
tamvann,tampan
yap,ya
guaaaaaaa,gua
capa,sapa
ngakakkk,mengakak
liaat,lihat
gantweng,ganteng
anjjjjjjjj,anjing
gakwad,enggak kuat
seru2,seru-seru
iniii,ini
favoriteeee,favorit
adaa,ada
dinyanyiin,dinyanyikan
seruu,seru
nyengir,menyengir
temennya,temannya
klk,kelak
brjdh,berjodoh
akhrt,akhirat
kangennnnn,kangen
kanggen,kangen
kangennnnnnn,kangen
ysh,ya
sypa,siapa
nangisss,menangis
brjodoh,berjodoh
kaliann,kalian
barengg,bareng
kpnpun,kapanpun
mendj,menjadi
allahhhh,allah
merindinggg,merinding
amiennnn,amien
iihh,ih
lhir,lahir
udeh,sudah
menjdi,menjadi
debay,adek bayi
bangeer,banget
lafazd,lafaz
pmbyran,pembayaran
plsa,pulsa
"dimana""",dimana-mana
sokk,sok
ngambekan,ambekan
sma2,sama-sama
ngom,mengomong
toloollll,tolol
bodhooo,bodoh
peliharaaaa,pelihara
makanyaa,makanya
"ati""",hati-hati
kemakan,termakan
bodhoo,bodoh
siihhh,sih
andaaa,anda
buktinyaaa,buktinya
smuaaa,semua
ngambeknya,mengambeknya
kebongkar,terbongkar
tapii,tapi
kasiian,kasihan
diladenin,diladeni
comen,komen
ngtif,negatif
comntr,komentar
kaliannn,kalian
brdiri,berdiri
mulutny,mulutnya
msalah,masalah
trserh,terserah
waduuuuh,waduh
ngedukung,mendukung
dihpus,dihapus
mrekaa,mereka
cakeeeeppp,cakep
benerr,benar
"brg""",bareng-bareng
baanget,banget
anjaaaayyyyyy,anjay
ngetsz,banget
utkmu,untukmu
anj,anjing
merekaa,mereka
kann,kan
dieee,dia
yaahh,ya
hijap,hijab
ternodain,ternodai
ngeri2,ngeri-ngeri
mn,mana
kt2,kata-kata
agk,agak
slhkan,salahkan
jilbabny,jilbabnya
perilakuny,perilakunya
ketaatanny,ketaatannya
kepda,kepada
sblmny,sebelumnya
bljr,belajar
pedulilaaaah,pedulilah
ingetin,mengingatkan
terjrumus,terjerumus
stuju,setuju
sbb,sebab
igtlah,ingatlah
dtgkan,datangkan
benahin,membenahi
ohhhh,oh
yapp,ya
jauhh,jauh
bingitt,banget
buka2an,buka-bukaan
ngembali,kembali
semngat,semangat
lekong,laki
kacauuuu,kacau
ngimpi,mimpi
owh,oh
ngerampas,merampas
ngehancurin,menghancurkan
ngungkit2,mengungkit-ungkit
kaleee,kali
caranga,caranya
usa,usah
dipikirin,dipikirkan
nunduk,menunduk
tembemmm,tembem
lucuuuuuuuuuu,lucu
bundaaa,bunda
nyubitt,mencubit
jls2,jelas-jelas
supeer,super
inni,ini
appa,apa
hayooo,hayo
adyem,adem
mitnah,memfitnah
cantiknyaaaaa,cantiknya
tmbm,tembam
cantix,cantik
kriput,keriput
jelex,jelek
drmn,darimana
"laku""",laku-laku
"orang""nya",orang-orangnya
kacian,kasihan
cape,capek
mancing2,memancing-mancing
eeeeh,eh
kpancing,terpancing
lakuin,melakukan
cri,cari
sbenernya,sebenarnya
mikirinnn,memikirkan
"diam""",diam-diam
mengalahkn,mengalahkan
nyindirin,menyindir
nee,ini
klakuan,kelakuan
mksdx,maksudnya
shabat,sahabat
jk,jika
brbuat,berbuat
mmberi,memberi
nm,nama
sbhabat,sahabat
pnjerumus,penjerumus
tman,teman
shbat,sahabat
melakukn,melakukan
seorg,seorang
berkluarga,berkeluarga
siapa2,siapa-siapa
ketipu,tertipu
"laki""",laki-laki
mengait2kan,mengait-ngaitkan
nyir2,nyinyir
gosipin,menggosipkan
sendri,sendiri
bntar,bentar
duuuhhh,duh
nmbk,menembak
gakkk,enggak
abiiiiisssss,habis
tikung2,tikung-tikung
cwok,cowok
bangedd,banget
wuastagah,astaga
bedaaa,beda
jaoooh,jauh
mateeeeeeeeeeee,mati
parsis,persis
sumpeh,sumpah
iyh,iya
kmana,kemana
cantiqs,cantik
kecik,kecil
brasa,berasa
trlihat,terlihat
mmberikan,memberikan
khidupan,kehidupan
srpti,seperti
dinamakn,dinamakan
sgtu,sebegitu
paati,pasti
kutuu,kutu
setelur2nya,setelur-telurnya
khadiran,kehadiran
kel,keluarga
srta,serta
kcil,kecil
kberkahn,keberkahan
kbahagiaan,kebahagiaan
tntram,tentram
brsama,bersama
hngga,hingga
brpndapat,berpendapat
trutama,terutama
hiraukn,hiraukan
diamkn,diamkan
hrsny,harusny
brsyukur,bersyukur
mmberikn,memberikan
rasakn,rasakan
cari2,cari-cari
kesalahanny,kesalahannya
kekuranganny,kekurangannya
seandainy,seandainya
perasaanny,perasaannya
diindonesis,diindonesia
liyatnya,lihatnya
kayahhh,kaya
ala2,ala-ala
yook,yuk
yoookkkk,yuk
siihh,sih
elus2,elus-elus
asliiiii,asli
aduuhhhh,aduh
belom,belum
padahl,padahal
btul,betul
kejahatn,kejahatan
slam,salam
ngelewati,melewati
kalu,kalau
ngerendahin,merendahkan
apaalahh,apalah
tnp,tanpa
menyebut2,menyebut-nyebut
mnt,minta
kiya,kita
miriiiiip,mirip
dirimuuu,dirimu
yoiiu,yoi
semuanyaaaa,semuanya
suka.a,sukanya
jdii,jadi
blnja,belanja
brangnya,barangnya
ada2,ada-ada
nimpuk,menimpuk
abiss,habis
prlu,perlu
coyyy,coy
suaranyaa,suaranya
jnagn,jangan
kcwa,kecewa
jaman2,jaman-jaman
sok2an,sok-sokan
dket2in,dekat-dekati
cobak,coba
britanya,beritanya
tau2,tau-tau
mahh,mah
jamam,jaman
paraa,para
seharusny,seharusnya
dasaar,dasar
bergunaa,berguna
mulutnyaaa,mulutnya
blkng,belakang
kcewa,kecewa
mnusuk,menusuk
blkang,belakang
nembak,menembak
trmanis,termanis
krng,kurang
kaciiaann,kasihan
nyela,mencela
ngejilat,menjilat
hallooo,halo
deketin,dekati
tayik,tahi
halooo,halo
ustzah,ustazah
halow,halo
poooolllll,pol
tahannn,tahan
aduuh,aduh
nyimpen,menyimpan
ngarsipin,mengarsipkan
cman,cuman
gituuuuu,begitu
kyy,kaya
kngn,kangen
kq,kok
nyesek,menyesak
rinduuuuuuu,rindu
b2,berdua
kangeeeennn,kangen
mg,moga
aamiiiiinnn,amin
gemezzzz,gemas
kangennnnnn,kangen
prh,parah
bakattt,bakat
napsuu,napsu
gmau,enggak mau
luccu,lucu
prasaan,perasaan
lahirr,lahir
setujuuuu,setuju
sering2,sering-sering
ceemen,cemen
"sembunyi""""",sembunyi-sembunyi
skrnh,sekarang
cerdiik,cerdik
jeniuss,jenius
kurangin,kurangi
kreen,keren
s'lalu,selalu
mauuuuuu,mau
mintk,minta
nyolong,mencolong
pnjng,panjang
slaluuuuu,selalu
kanggggg,kang
rezeqinya,rezekinya
pintr,pintar
dekk,dek
maw,mau
kura2,kura-kura
edaaann,edan
nempel,menempel
hatiiii,hati
sukkaa,suka
luuuucuuu,lucu
caantiiik,cantik
luucuuu,lucu
putihh,putih
"terus""an",terus-terusan
siiih,sih
ternyataa,ternyata
pollll,pol
sekaliiii,sekali
peduliin,mempedulikan
komntr,komentar
smngat,semangat
dosax,dosanya
pahalax,pahalanya
akhirt,akhirat
tinggalkn,tinggalkan
rumh,rumah
mk,maka
trhtung,terhitung
naaaa,nya
ademmm,adem
cerdass,cerdas
tambahh,tambah
polll,pol
didengerin,didengarkan
mantapppppp,mantap
ngerespon,merespons
dulurrr,dulur
brusaha,berusaha
lebh,lebih
amin2,amin-amin
positippp,positif
jauuhhh,jauh
brhjb,berhijab
mdh2n,mudah-mudahan
slmnya,salamnya
jlbb,jilbab
dempga,semoga
selmnya,selamanya
tth,teteh
otot2,otot-otot
lengkeeett,lengket
caaannnttiikkk,cantik
trusss,terus
ademm,adem
apalagiii,apalagi
passs,pas
beginii,begini
satuu,satu
cuantek,cantik
akuuuur,akur
iniehh,ini
sayangx,sayangnya
jodohx,jodohnya
kaliaan,kalian
haslnya,hasilnya
kencng,kencang
pmbantu,pembantu
kmbl,kembali
cuchook,cocok
kloop,klop
sempurnaa,sempurna
klihatan,kelihatan
cintax,cintanya
pnuh,penuh
ngrti,mengerti
"mudah""an",mudah-mudahan
"segala""ny",segala-galanya
mantanny,mantannya
jodohny,jodohnya
cantk,cantik
ituuu,itu
kaasian,kasihan
padhl,padahal
"ank""",anak-anak
pkrin,pikirkan
anakx,anaknya
sia2kan,sia-siakan
naaahhh,nah
beluumm,belum
sayangggq,sayangku
kreean,keren
ciiieee,cie
cieee,cie
cieeee,cie
berenanh,berenang
pacarr,pacar
bingitss,banget
besokkk,besok
annnnjjjjjjrrrr,anjir
ngeliatin,melihati
ngumbar2,mengumbar-umbar
romantiss,romantis
cocook,cocok
lucuuuuuuuu,lucu
kaaaaaann,kan
nyaaaaaaa,nya
lgs,langsung
yaang,yang
bangedt,banget
gde,gede
lutunaaa,lucunya
bikinnn,bikin
keee,ke
bungkuuussss,bungkus
lucux,lucunya
bntr,bentar
buanyaaak,banyak
aaamiiinnn,amin
aaamiiin,amin
ntap,mantap
abgnyaah,abangnya
mungkiin,mungkin
akuhh,aku
manteb,mantap
hiduupppp,hidup
tebel,tebal
nganggepin,menanggapi
"mentang""",mentang-mentang
najiss,najis
perjabatt,pejabat
makany,makanya
benneeeeeerr,benar
krjaan,pekerjaan
kdng,kadang
kdang,kadang
knan,kanan
anak'y,anaknya
trknal,terkenal
"gtu""",begitu-gitu
klok,kalo
aamiiiinnnnn,amin
pengennnn,pengin
guw,gue
siiiiiiippppppppp,sip
selaloe,selalu
donggg,dong
beruntungnyaaaa,beruntungnya
soal'y,soalnya
prhatian,perhatian
hebaat,hebat
ampunn,ampun
gueeeee,gue
liatt,lihat
gehh,gih
ankknyaaa,anaknya
centilnyaaaaaa,centilnya
gemesshzzzzhzzhzhzhsjssjs,gemas
ngacaaa,mengaca
diaaa,dia
jirr,anjir
kayaa,kaya
cempreeng,cempreng
centillll,centil
pcran,pacaran
anedh,banget
ampyunnnn,ampun
boro2,boro-boro
nyta,nyata
kampungn,kampungan
j,saja
mnghina,menghina
ngolokin,mengolok
blum,belum
"syirik""",syirik-syirik
than,tahan
dsr,dasar
siriik,sirik
mampuuu,mampu
khan,kan
aduuhh,aduh
cemburuu,cemburu
bingitzzzz,banget
tlog,tolong
apasihhh,apasih
sirikk,sirik
dbnding,dibanding
nrka,neraka
s3ndiri,sendiri
bhgiain,membahagiakan
kdua,kedua
prcya,percaya
bhagaia,bahagia
cuco,cocok
genittt,genit
kx,kak
mlikk,milik
"mentah""",mentah-mentah
canci,cantik
aneed,banget
gimanaa,bagaimana
lainnn,lain
pentingg,penting
bagaimanaaa,bagaimana
krudung,kerudung
enakkkkk,enak
poool,pol
jirrrr,anjir
oprasiya,operasinya
uwee,gue
pilihannny,pilihannya
itumahh,itumah
muuuu,mu
uuhhh,uh
berbakiti,berbakti
alhamd,alhamdulillah
slmttt,selamat
ucapin,mengucapkan
tetp,tetap
ditengah2,ditengah-tengah
semuanyaa,semuanya
semuannyaaa,semuanya
aminn2,amin-amin
abs,habis
kebnyak'an,kebanyakan
melahirin,melahirkan
aduuuh,aduh
cakeep,cakep
lhooo,loh
kamuuuu,kamu
bagi2,bagi-bagi
gimn,bagaimana
smogaaa,semoga
biza,bisa
aamien,amien
lngsing,langsing
wowoooww,wow
smulla,semula
pdhall,padahal
blln,bulan
senang2,senang-senang
jh,saja
kereeennnn,keren
gilakkk,gila
gtu2,begitu-gitu
cpet,cepat
gataunya,enggak taunya
gtau,enggak tau
fans2,fan-fan
gaharus,enggak harus
al qur'an,alquran
al-qur'an,alquran
al-quran,alquran
azhar,asar
buda,buddha
budha,buddha
february,februari
pebruari,februari
philipina,filipina
islamiyah,islamiah
itali,italia
jum'at,jumat
qodiriyah,kadiriah
qomariyah,kamariah
katholik,katolik
quraisy,kuraisy
mahapengasih,maha pengasih
mahabarata,mahabharata
maha esa,mahaesa
maha kuasa,mahakuasa
nopember,november
qur’an,quran
rebo,rabu
ramadhan,ramadan
romadhon,ramadan
romadlon,ramadan
reamur,reaumur
sansekerta,sanskerta
siwa,syiwa
abrasi,aberasi
abjat,abjad
abreg,abrek
absorsi,absorpsi
adap,adab
adegio,adagio
adesi,adhesi
adi busana,adibusana
adi daya,adidaya
adi gang,adigang
adi guna,adiguna
adi gung,adigung
adek,adik
adi kodrati,adikodrati
adi luhung,adiluhung
ajektif,adjektif
admin,administrator
advent,adven
adpokat,advokat
erobatik,aerobatik
afdol,afdal
agamis,agamais
agent,agen
ajeg,ajek
akikah,akekah
akherat,akhirat
akhirul kalam,akhirulkalam
akhlaq,akhlak
accu,aki
aqil,akil
aseptor,akseptor
aksesoris,aksesori
asesori,aksesori
akte,akta
aktip,aktif
aktiv,aktif
aktive,aktif
aktifis,aktivis
aktifitas,aktivitas
aktuil,aktual
aquades,akuades
aquarium,akuarium
aquatik,akuatik
akutansi,akuntansi
akupuntur,akupunktur
akuntan,akutan
alaram,alarm
alpha,alfa
aliyah,aliah
alenia,alinea
alinia,alinea
alfa,alpa
alternatip,alternatif
almunium,aluminium
alumunium,aluminium
ambeyen,ambeien
amben,ambin
ambulan,ambulans
ambulance,ambulans
amandemen,amendemen
amphibi,amfibi
ampibi,amfibi
amien,amin
amirulhaj,amirulhaji
amoniak,amonia
amper,ampere
analisa,analisis
handal,andal
anestesia,anestesi
anggauta,anggota
angpao,angpau
anoda,anode
antar umat beragama,antarumat beragama
antene,antena
antalogi,antologi
antri,antre
antrian,antrean
apapun,apa pun
apem,apam
aparatur,aparat
aplus,aplaus
apostrop,apostrof
